"","user_id","order_item_id","item_id","item_size","item_color","brand_id","user_dob","return","delivery_duration","user_maturity","price_and_age","avg_return","nr_obs","order_month","order_day","del_year","del_month","del_day"
"user_id",1,0.001,0.431,0.001,0.005,0.063,0.075,-0.008,0.115,-0.253,0.048,0.007,-0.311,-0.112,0.02,0.048,-0.095,-0.017
"order_item_id",0.001,1,-0.003,-0.005,0,0,0.001,-0.008,0.001,-0.005,-0.002,-0.009,-0.005,-0.001,0.001,-0.001,0,0.002
"item_id",0.431,-0.003,1,0.062,0.012,0.168,0.013,0.008,0.24,0.144,0.18,0.008,-0.063,-0.263,-0.015,0.129,-0.229,-0.012
"item_size",0.001,-0.005,0.062,1,0.201,0.238,0.008,-0.122,0.026,0.015,-0.26,-0.09,0.036,0.042,-0.002,-0.011,0.043,0
"item_color",0.005,0,0.012,0.201,1,-0.013,0.001,-0.088,0.025,0,-0.137,-0.062,0.001,0.009,0.001,-0.005,0.013,0.002
"brand_id",0.063,0,0.168,0.238,-0.013,1,0.044,0.016,-0.025,0.016,0.05,0.007,-0.016,0.093,0,-0.004,0.074,0.008
"user_dob",0.075,0.001,0.013,0.008,0.001,0.044,1,0.053,0,-0.088,0.032,0.076,0.015,0.01,0.01,-0.05,0.021,0.016
"return",-0.008,-0.008,0.008,-0.122,-0.088,0.016,0.053,1,-0.009,0.025,0.157,0.703,0.05,-0.028,-0.004,0.044,-0.034,-0.006
"delivery_duration",0.115,0.001,0.24,0.026,0.025,-0.025,0,-0.009,1,0.011,0.044,0,-0.028,-0.12,-0.007,0.09,0.021,-0.035
"user_maturity",-0.253,-0.005,0.144,0.015,0,0.016,-0.088,0.025,0.011,1,0.011,0.022,0.211,-0.035,0.01,0.049,-0.053,-0.006
"price_and_age",0.048,-0.002,0.18,-0.26,-0.137,0.05,0.032,0.157,0.044,0.011,1,0.122,-0.083,0.081,-0.012,-0.009,0.094,0.015
"avg_return",0.007,-0.009,0.008,-0.09,-0.062,0.007,0.076,0.703,0,0.022,0.122,1,0.028,-0.034,-0.003,0.064,-0.04,-0.011
"nr_obs",-0.311,-0.005,-0.063,0.036,0.001,-0.016,0.015,0.05,-0.028,0.211,-0.083,0.028,1,0.019,0.007,-0.01,0.012,0.008
"order_month",-0.112,-0.001,-0.263,0.042,0.009,0.093,0.01,-0.028,-0.12,-0.035,0.081,-0.034,0.019,1,0.024,-0.149,0.839,-0.029
"order_day",0.02,0.001,-0.015,-0.002,0.001,0,0.01,-0.004,-0.007,0.01,-0.012,-0.003,0.007,0.024,1,-0.01,0,0.328
"del_year",0.048,-0.001,0.129,-0.011,-0.005,-0.004,-0.05,0.044,0.09,0.049,-0.009,0.064,-0.01,-0.149,-0.01,1,-0.344,-0.195
"del_month",-0.095,0,-0.229,0.043,0.013,0.074,0.021,-0.034,0.021,-0.053,0.094,-0.04,0.012,0.839,0,-0.344,1,0.048
"del_day",-0.017,0.002,-0.012,0,0.002,0.008,0.016,-0.006,-0.035,-0.006,0.015,-0.011,0.008,-0.029,0.328,-0.195,0.048,1
