order_item_id,pred_return
100001,1
100002,0
100003,0
100004,1
100005,0
100006,1
100007,0
100008,1
100009,1
100010,0
100011,0
100012,0
100013,1
100014,1
100015,1
100016,0
100017,1
100018,1
100019,0
100020,0
100021,1
100022,0
100023,1
100024,1
100025,1
100026,0
100027,0
100028,0
100029,0
100030,1
100031,1
100032,0
100033,0
100034,0
100035,1
100036,0
100037,0
100038,1
100039,1
100040,1
100041,1
100042,0
100043,1
100044,1
100045,1
100046,1
100047,1
100048,0
100049,1
100050,1
100051,0
100052,1
100053,1
100054,0
100055,1
100056,1
100057,0
100058,1
100059,1
100060,1
100061,1
100062,0
100063,1
100064,0
100065,0
100066,1
100067,1
100068,0
100069,1
100070,1
100071,0
100072,0
100073,0
100074,0
100075,0
100076,0
100077,0
100078,0
100079,1
100080,1
100081,1
100082,0
100083,1
100084,1
100085,0
100086,1
100087,1
100088,0
100089,0
100090,0
100091,1
100092,1
100093,1
100094,1
100095,0
100096,0
100097,0
100098,0
100099,0
100100,1
100101,1
100102,1
100103,0
100104,0
100105,0
100106,1
100107,1
100108,0
100109,1
100110,1
100111,1
100112,1
100113,1
100114,0
100115,1
100116,1
100117,0
100118,1
100119,0
100120,0
100121,0
100122,1
100123,0
100124,0
100125,1
100126,1
100127,1
100128,1
100129,1
100130,1
100131,1
100132,1
100133,0
100134,0
100135,1
100136,1
100137,0
100138,1
100139,1
100140,0
100141,1
100142,1
100143,0
100144,0
100145,0
100146,1
100147,1
100148,1
100149,1
100150,0
100151,0
100152,1
100153,0
100154,0
100155,0
100156,1
100157,1
100158,0
100159,0
100160,0
100161,0
100162,1
100163,0
100164,0
100165,1
100166,1
100167,0
100168,1
100169,1
100170,1
100171,1
100172,1
100173,0
100174,1
100175,0
100176,1
100177,0
100178,0
100179,1
100180,1
100181,0
100182,1
100183,0
100184,0
100185,0
100186,0
100187,1
100188,0
100189,0
100190,1
100191,1
100192,0
100193,0
100194,1
100195,1
100196,0
100197,1
100198,0
100199,1
100200,1
100201,1
100202,0
100203,1
100204,1
100205,1
100206,1
100207,1
100208,0
100209,1
100210,1
100211,0
100212,1
100213,0
100214,1
100215,1
100216,1
100217,1
100218,0
100219,1
100220,1
100221,1
100222,0
100223,0
100224,1
100225,0
100226,0
100227,1
100228,1
100229,0
100230,0
100231,1
100232,1
100233,1
100234,0
100235,1
100236,0
100237,0
100238,0
100239,1
100240,1
100241,1
100242,1
100243,0
100244,1
100245,0
100246,0
100247,0
100248,1
100249,1
100250,1
100251,0
100252,1
100253,1
100254,1
100255,0
100256,0
100257,0
100258,1
100259,1
100260,0
100261,0
100262,0
100263,0
100264,0
100265,1
100266,0
100267,0
100268,1
100269,0
100270,1
100271,1
100272,0
100273,1
100274,0
100275,1
100276,0
100277,0
100278,0
100279,1
100280,1
100281,0
100282,1
100283,0
100284,1
100285,1
100286,1
100287,0
100288,1
100289,1
100290,1
100291,0
100292,0
100293,1
100294,1
100295,0
100296,1
100297,0
100298,1
100299,0
100300,1
100301,1
100302,1
100303,0
100304,0
100305,1
100306,0
100307,1
100308,1
100309,0
100310,0
100311,1
100312,0
100313,0
100314,1
100315,0
100316,0
100317,1
100318,1
100319,1
100320,1
100321,1
100322,1
100323,1
100324,0
100325,0
100326,1
100327,1
100328,1
100329,0
100330,1
100331,0
100332,0
100333,1
100334,0
100335,1
100336,0
100337,0
100338,1
100339,0
100340,0
100341,0
100342,1
100343,0
100344,0
100345,1
100346,1
100347,1
100348,0
100349,0
100350,0
100351,0
100352,1
100353,1
100354,0
100355,1
100356,0
100357,1
100358,1
100359,1
100360,1
100361,1
100362,1
100363,1
100364,1
100365,1
100366,1
100367,0
100368,1
100369,0
100370,1
100371,0
100372,1
100373,0
100374,1
100375,1
100376,0
100377,0
100378,1
100379,1
100380,1
100381,0
100382,1
100383,1
100384,1
100385,1
100386,1
100387,0
100388,1
100389,1
100390,0
100391,1
100392,0
100393,1
100394,0
100395,1
100396,0
100397,0
100398,1
100399,1
100400,1
100401,0
100402,0
100403,0
100404,0
100405,1
100406,0
100407,0
100408,0
100409,0
100410,1
100411,0
100412,1
100413,0
100414,0
100415,1
100416,0
100417,1
100418,1
100419,0
100420,1
100421,1
100422,0
100423,1
100424,1
100425,0
100426,0
100427,1
100428,1
100429,1
100430,0
100431,0
100432,1
100433,0
100434,1
100435,0
100436,0
100437,1
100438,0
100439,1
100440,1
100441,0
100442,0
100443,0
100444,1
100445,1
100446,1
100447,1
100448,1
100449,1
100450,1
100451,1
100452,1
100453,1
100454,1
100455,0
100456,1
100457,1
100458,0
100459,1
100460,1
100461,1
100462,1
100463,1
100464,1
100465,0
100466,1
100467,0
100468,0
100469,0
100470,0
100471,0
100472,1
100473,1
100474,1
100475,1
100476,1
100477,1
100478,1
100479,0
100480,1
100481,1
100482,0
100483,1
100484,1
100485,1
100486,0
100487,1
100488,0
100489,0
100490,0
100491,0
100492,0
100493,1
100494,0
100495,0
100496,1
100497,1
100498,1
100499,1
100500,1
100501,0
100502,1
100503,0
100504,1
100505,0
100506,0
100507,1
100508,0
100509,1
100510,0
100511,1
100512,0
100513,0
100514,1
100515,1
100516,0
100517,1
100518,0
100519,1
100520,1
100521,1
100522,0
100523,0
100524,0
100525,0
100526,0
100527,0
100528,0
100529,0
100530,1
100531,1
100532,1
100533,1
100534,0
100535,1
100536,1
100537,1
100538,1
100539,1
100540,0
100541,0
100542,1
100543,1
100544,1
100545,0
100546,1
100547,1
100548,0
100549,0
100550,0
100551,1
100552,1
100553,0
100554,1
100555,1
100556,1
100557,1
100558,1
100559,1
100560,1
100561,0
100562,0
100563,0
100564,0
100565,1
100566,1
100567,1
100568,1
100569,1
100570,1
100571,0
100572,1
100573,1
100574,1
100575,0
100576,1
100577,0
100578,1
100579,0
100580,1
100581,0
100582,0
100583,0
100584,1
100585,0
100586,1
