"order_item_id","return"
100001,1
100002,0
100003,1
100004,0
100005,0
100006,0
100007,1
100008,1
100009,1
100010,0
100011,0
100012,0
100013,1
100014,1
100015,1
100016,0
100017,1
100018,1
100019,1
100020,1
100021,1
100022,0
100023,1
100024,0
100025,1
100026,0
100027,1
100028,0
100029,0
100030,0
100031,1
100032,1
100033,1
100034,0
100035,0
100036,0
100037,0
100038,0
100039,0
100040,0
100041,1
100042,0
100043,1
100044,1
100045,1
100046,1
100047,1
100048,0
100049,1
100050,1
100051,1
100052,0
100053,0
100054,0
100055,0
100056,1
100057,1
100058,1
100059,0
100060,0
100061,1
100062,1
100063,1
100064,0
100065,0
100066,1
100067,0
100068,1
100069,1
100070,0
100071,1
100072,0
100073,1
100074,0
100075,0
100076,0
100077,1
100078,1
100079,1
100080,1
100081,1
100082,1
100083,1
100084,1
100085,1
100086,0
100087,1
100088,0
100089,0
100090,1
100091,0
100092,0
100093,1
100094,0
100095,1
100096,0
100097,0
100098,0
100099,1
100100,0
100101,1
100102,0
100103,0
100104,1
100105,1
100106,0
100107,1
100108,0
100109,1
100110,1
100111,1
100112,1
100113,0
100114,1
100115,1
100116,1
100117,0
100118,1
100119,1
100120,1
100121,0
100122,0
100123,1
100124,0
100125,1
100126,1
100127,0
100128,1
100129,0
100130,1
100131,1
100132,1
100133,0
100134,0
100135,1
100136,0
100137,0
100138,1
100139,0
100140,1
100141,0
100142,0
100143,0
100144,1
100145,0
100146,1
100147,1
100148,1
100149,0
100150,0
100151,1
100152,1
100153,1
100154,0
100155,0
100156,0
100157,1
100158,1
100159,1
100160,1
100161,0
100162,0
100163,0
100164,0
100165,1
100166,1
100167,0
100168,1
100169,1
100170,1
100171,1
100172,1
100173,0
100174,0
100175,0
100176,0
100177,1
100178,0
100179,0
100180,1
100181,0
100182,1
100183,1
100184,0
100185,1
100186,0
100187,1
100188,1
100189,1
100190,1
100191,1
100192,0
100193,0
100194,1
100195,1
100196,0
100197,1
100198,1
100199,1
100200,0
100201,1
100202,0
100203,0
100204,0
100205,1
100206,1
100207,0
100208,0
100209,1
100210,0
100211,0
100212,1
100213,1
100214,1
100215,1
100216,0
100217,1
100218,1
100219,1
100220,1
100221,0
100222,0
100223,0
100224,1
100225,1
100226,1
100227,0
100228,1
100229,1
100230,0
100231,0
100232,1
100233,0
100234,1
100235,0
100236,0
100237,0
100238,1
100239,0
100240,0
100241,0
100242,1
100243,0
100244,0
100245,1
100246,1
100247,0
100248,1
100249,1
100250,1
100251,0
100252,1
100253,1
100254,1
100255,0
100256,0
100257,0
100258,1
100259,1
100260,0
100261,1
100262,0
100263,0
100264,1
100265,0
100266,1
100267,0
100268,1
100269,1
100270,0
100271,0
100272,0
100273,1
100274,1
100275,0
100276,0
100277,1
100278,0
100279,1
100280,1
100281,0
100282,1
100283,1
100284,0
100285,1
100286,0
100287,0
100288,1
100289,1
100290,1
100291,1
100292,0
100293,1
100294,1
100295,0
100296,1
100297,0
100298,0
100299,0
100300,1
100301,1
100302,1
100303,1
100304,0
100305,0
100306,0
100307,1
100308,0
100309,0
100310,1
100311,0
100312,0
100313,0
100314,1
100315,1
100316,0
100317,1
100318,0
100319,1
100320,0
100321,1
100322,1
100323,0
100324,0
100325,1
100326,1
100327,1
100328,1
100329,0
100330,1
100331,0
100332,0
100333,0
100334,0
100335,0
100336,0
100337,1
100338,1
100339,1
100340,1
100341,1
100342,1
100343,1
100344,0
100345,1
100346,0
100347,0
100348,1
100349,0
100350,1
100351,0
100352,1
100353,1
100354,0
100355,0
100356,0
100357,0
100358,1
100359,1
100360,0
100361,1
100362,1
100363,1
100364,1
100365,1
100366,1
100367,1
100368,1
100369,0
100370,1
100371,1
100372,0
100373,0
100374,1
100375,1
100376,0
100377,0
100378,1
100379,0
100380,1
100381,1
100382,1
100383,0
100384,1
100385,1
100386,0
100387,0
100388,1
100389,1
100390,1
100391,0
100392,1
100393,0
100394,0
100395,1
100396,0
100397,0
100398,0
100399,1
100400,1
100401,0
100402,0
100403,0
100404,1
100405,0
100406,0
100407,1
100408,0
100409,0
100410,1
100411,1
100412,0
100413,0
100414,0
100415,1
100416,1
100417,1
100418,1
100419,0
100420,0
100421,1
100422,1
100423,1
100424,0
100425,0
100426,1
100427,1
100428,1
100429,1
100430,0
100431,0
100432,1
100433,0
100434,1
100435,1
100436,0
100437,1
100438,0
100439,1
100440,1
100441,0
100442,0
100443,0
100444,1
100445,1
100446,1
100447,0
100448,1
100449,0
100450,0
100451,1
100452,0
100453,0
100454,0
100455,0
100456,1
100457,1
100458,1
100459,0
100460,1
100461,1
100462,1
100463,1
100464,0
100465,0
100466,1
100467,1
100468,0
100469,0
100470,0
100471,1
100472,0
100473,1
100474,0
100475,0
100476,1
100477,0
100478,1
100479,0
100480,1
100481,0
100482,0
100483,1
100484,0
100485,0
100486,1
100487,0
100488,1
100489,0
100490,1
100491,0
100492,0
100493,1
100494,0
100495,0
100496,1
100497,1
100498,1
100499,1
100500,1
100501,1
100502,0
100503,0
100504,1
100505,0
100506,0
100507,1
100508,0
100509,1
100510,1
100511,1
100512,0
100513,0
100514,1
100515,1
100516,0
100517,1
100518,1
100519,0
100520,1
100521,1
100522,1
100523,0
100524,0
100525,0
100526,0
100527,0
100528,1
100529,1
100530,1
100531,0
100532,0
100533,1
100534,0
100535,0
100536,0
100537,1
100538,1
100539,0
100540,1
100541,1
100542,0
100543,1
100544,0
100545,0
100546,1
100547,1
100548,1
100549,0
100550,0
100551,1
100552,0
100553,1
100554,1
100555,1
100556,1
100557,1
100558,1
100559,1
100560,1
100561,0
100562,0
100563,1
100564,0
100565,1
100566,1
100567,1
100568,1
100569,0
100570,1
100571,0
100572,1
100573,1
100574,1
100575,1
100576,1
100577,0
100578,1
100579,1
100580,0
100581,0
100582,0
100583,0
100584,1
100585,1
100586,1
